timestamp,open,high,low,close,volume
1780560000,279.27,280.41,272.9,276.64,1036.1586
1780574400,277.23,284.32,276.46,280.26,1534.413
1780588800,280.75,281.22,276.4,278.84,806.5035
1780603200,277.23,278.2,273.0,277.63,333.4329
1780617600,277.65,278.03,271.07,271.58,851.6038
1780632000,271.48,275.0,260.46,267.92,3858.8659
1780646400,267.25,270.5,264.23,268.45,1123.3166
1780660800,268.13,271.11,261.02,262.35,1724.1731
1780675200,261.01,270.31,253.05,260.44,1046.9575
1780689600,262.51,270.0,257.0,259.95,357.2622
1780704000,260.25,265.62,257.06,257.62,901.2622
1780718400,257.66,258.5,247.31,256.47,1658.1295
1780732800,256.68,259.47,250.11,254.99,813.1429
1780747200,255.43,257.67,251.5,254.24,374.4165
1780761600,253.91,254.87,251.71,251.96,1148.4967
1780776000,251.94,254.36,250.86,253.85,241.7051
1780790400,254.36,261.53,253.0,260.47,668.0052
1780804800,260.47,265.81,258.64,265.13,906.7167
1780819200,265.17,269.41,263.18,265.15,502.576
1780833600,265.04,266.69,260.03,265.21,419.9429
1780848000,265.47,267.87,260.0,261.06,222.7499
1780862400,261.97,274.99,261.97,269.83,745.6829
1780876800,269.34,272.5,267.03,271.14,1705.2805
1780891200,271.06,271.1,265.77,270.07,2019.864
1780905600,269.86,273.84,268.0,272.89,353.9532
1780920000,271.99,277.1,270.35,275.0,577.0588
1780934400,274.55,276.97,272.82,275.06,258.2366
1780948800,273.76,277.41,272.5,272.6,203.7703
1780963200,272.6,272.6,266.51,268.85,531.9187
1780977600,268.45,274.07,268.45,272.56,367.8182
1780992000,271.59,271.67,268.62,268.93,432.2452
1781006400,270.31,270.31,262.29,262.29,2490.078
1781020800,262.3,267.47,259.89,267.47,1149.2253
1781035200,267.06,267.45,264.55,264.94,106.088
1781049600,265.07,265.62,261.88,262.72,3253.7766
1781064000,262.21,263.27,260.23,262.99,109.4309
1781078400,262.74,262.74,257.06,259.26,456.443
1781092800,259.26,267.29,258.39,266.66,648.4203
1781107200,266.1,266.75,259.0,259.37,324.4331
1781121600,259.26,259.36,254.69,257.91,317.8329
1781136000,258.45,266.82,258.45,266.17,362.4094
1781150400,265.73,266.51,264.3,265.07,192.8092
1781164800,265.16,268.77,265.02,268.77,818.5091
1781179200,267.8,268.1,264.75,266.69,243.6497
1781193600,267.36,273.61,265.59,272.77,558.3654
1781208000,272.78,273.13,271.35,272.75,54.3578
1781222400,272.07,273.48,270.81,272.45,496.1357
1781236800,272.23,272.8,268.64,269.12,175.7316
1781251200,269.7,273.64,269.7,272.04,382.1336
1781265600,271.7,279.71,270.85,273.51,1083.8562
1781280000,274.11,277.0,272.02,272.02,112.5405
1781294400,271.69,272.33,270.94,272.12,56.7828
1781308800,272.72,274.9,272.56,272.56,178.1994
1781323200,272.54,274.02,271.68,273.77,661.1166
1781337600,274.2,276.57,274.13,276.23,558.6797
1781352000,276.45,279.63,276.27,279.46,187.2476
1781366400,278.5,278.5,276.7,278.06,65.6331
1781380800,277.62,282.78,277.62,280.53,335.6607
1781395200,280.42,281.45,280.03,280.9,148.1469
1781409600,281.01,281.13,277.52,277.79,818.293
1781424000,277.83,278.98,277.02,277.66,93.9639
1781438400,277.31,277.31,273.05,274.51,276.7313
1781452800,275.04,275.51,274.29,275.1,98.7057
1781467200,274.9,289.13,274.9,289.0,528.1969
1781481600,289.77,291.34,287.23,289.5,488.0805
1781496000,289.42,290.05,288.0,289.85,450.2774
1781510400,289.4,295.09,288.5,294.79,356.0575
1781524800,294.78,305.53,293.67,305.51,772.4149
1781539200,305.5,308.87,303.24,305.11,312.4039
1781553600,305.0,305.0,299.84,300.96,213.971
1781568000,300.91,302.15,297.03,300.0,511.5275
1781582400,300.0,303.82,298.22,303.82,610.0928
1781596800,304.0,308.2,303.68,303.87,662.0043
1781611200,304.8,307.5,296.05,299.3,553.0103
1781625600,299.02,302.95,297.96,301.82,58.4698
1781640000,300.55,302.23,299.45,299.45,27.3893
1781654400,299.78,303.16,299.0,301.06,322.2215
1781668800,300.59,301.53,297.75,298.03,190.5173
1781683200,298.01,298.01,293.22,294.53,575.7947
1781697600,294.18,301.22,292.57,300.36,460.8447
1781712000,301.0,303.94,292.35,292.65,783.6164
1781726400,292.33,294.55,289.46,293.78,558.6633
1781740800,295.23,297.31,293.84,294.76,512.6194
1781755200,293.5,294.69,290.28,294.69,546.7832
1781769600,294.53,297.14,292.34,292.34,513.8778
1781784000,292.73,295.61,283.04,283.04,647.512
1781798400,283.03,286.53,282.87,285.95,731.7232
1781812800,287.23,288.18,286.05,287.41,280.8885
1781827200,287.42,288.81,283.51,285.33,663.2839
1781841600,285.04,285.5,282.1,283.46,908.4556
1781856000,283.43,284.7,282.36,283.29,612.1528
1781870400,283.1,288.13,282.0,287.22,213.4406
1781884800,287.04,287.86,285.5,286.37,149.6046
1781899200,285.5,288.55,285.5,288.55,55.3912
1781913600,289.2,290.23,288.19,290.16,477.4048
1781928000,290.0,299.94,290.0,296.98,1091.6578
1781942400,297.0,298.33,296.0,298.33,327.9637
1781956800,298.04,300.42,292.8,298.88,478.3153
1781971200,298.11,298.29,295.88,298.29,193.5067
1781985600,298.44,307.48,298.44,304.09,159.2461
1782000000,303.82,306.4,302.67,305.47,343.849
1782014400,305.67,306.07,303.51,304.21,83.1302
1782028800,304.04,308.78,302.43,304.0,444.9152
1782043200,303.67,307.97,303.12,307.37,261.6692
1782057600,307.37,309.79,306.79,308.45,369.5217
1782072000,308.83,308.83,300.5,300.62,230.3328
1782086400,300.85,310.0,300.85,304.69,852.1197
1782100800,304.7,308.43,304.62,307.64,345.8506
1782115200,307.88,308.66,305.84,308.15,459.1184
1782129600,308.04,310.94,303.85,303.85,360.8449
1782144000,303.58,305.58,302.02,302.48,419.9044
1782158400,302.87,303.24,298.36,299.56,308.1898
